face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
M02,M,3,wei__junseo,wei__junseo,위아이 준서,WEi,Junseo,14,0.6523,-0.0538,-0.1297
M11,M,9,wei__seokhwa,wei__seokhwa,위아이 석화,WEi,Seokhwa,10,0.7096,0.0554,0.0029
M10,M,10,wei__yohan,wei__yohan,위아이 요한,WEi,Yohan,11,0.6614,-0.0130,-0.1519
M06,M,8,wei__yongha,wei__yongha,위아이 용하,WEi,Yongha,11,0.6806,0.0178,0.1693
M04,M,2,whib__haseung,whib__haseung,휘브 하승,WHIB,Haseung,11,0.7343,0.0347,0.1946
M11,M,9,whib__jaeha,whib__jaeha,휘브 재하,WHIB,Jaeha,12,0.6975,-0.2147,0.0391
M02,M,3,whib__jinbeom,whib__jinbeom,휘브 진범,WHIB,Jinbeom,7,0.6712,-0.2101,-0.0689
M04,M,2,whib__kim_junmin,whib__kim_junmin,휘브 김준민,WHIB,Kim Junmin,6,0.6066,-0.1030,0.0285
M07,M,0,whib__leejeong,whib__leejeong,휘브 이정,WHIB,Leejeong,9,0.7208,-0.0224,-0.1963
M09,M,7,whib__ugeon,whib__ugeon,휘브 유건,WHIB,UGeon,11,0.7482,-0.0731,0.1769
M08,M,6,whib__wonjun,whib__wonjun,휘브 원준,WHIB,Wonjun,11,0.6118,0.2576,0.0043
M11,M,9,xdinary_heroes__gaon,xdinary_heroes__gaon,엑스디너리히어로즈 가온,Xdinary Heroes,Gaon,9,0.6447,-0.3512,0.0313
M03,M,4,xdinary_heroes__gunil,xdinary_heroes__gunil,엑스디너리히어로즈 건일,Xdinary Heroes,Gunil,8,0.6752,0.3656,-0.1173
M08,M,6,xdinary_heroes__jooyeon,xdinary_heroes__jooyeon,엑스디너리히어로즈 주연,Xdinary Heroes,Jooyeon,7,0.6454,-0.1123,-0.0630
M05,M,1,xdinary_heroes__jun_han,xdinary_heroes__jun_han,엑스디너리히어로즈 준한,Xdinary Heroes,Jun Han,8,0.7057,0.2035,-0.0699
M01,M,5,xdinary_heroes__jungsu,xdinary_heroes__jungsu,엑스디너리히어로즈 정수,Xdinary Heroes,Jungsu,10,0.6046,0.2122,-0.0256
M09,M,7,xdinary_heroes__o_de,xdinary_heroes__o_de,엑스디너리히어로즈 오드,Xdinary Heroes,O.de,11,0.6072,-0.1055,0.1357
M03,M,4,xikers__hunter,xikers__hunter,싸이커스 헌터,xikers,Hunter,8,0.6181,-0.0611,0.1516
M01,M,5,xikers__hyunwoo,xikers__hyunwoo,싸이커스 현우,xikers,Hyunwoo,14,0.6678,0.2924,0.0131
M07,M,0,xikers__jinsik,xikers__jinsik,싸이커스 진식,xikers,Jinsik,11,0.6395,-0.1879,-0.1157
M05,M,1,xikers__junghoon,xikers__junghoon,싸이커스 정훈,xikers,Junghoon,8,0.6336,0.2126,-0.1711
M01,M,5,xikers__junmin,xikers__junmin,싸이커스 준민,xikers,Junmin,13,0.6327,-0.1269,0.2559
M05,M,1,xikers__minjae,xikers__minjae,싸이커스 민재,xikers,Minjae,12,0.6195,0.0421,-0.1176
M09,M,7,xikers__seeun,xikers__seeun,싸이커스 세은,xikers,Seeun,13,0.7146,0.0984,0.1812
M08,M,6,xikers__sumin,xikers__sumin,싸이커스 수민,xikers,Sumin,10,0.7244,0.1206,0.2337
M04,M,2,xikers__yechan,xikers__yechan,싸이커스 예찬,xikers,Yechan,14,0.7128,-0.2611,-0.0338
M05,M,1,xikers__yujun,xikers__yujun,싸이커스 유준,xikers,Yujun,12,0.6362,-0.0152,-0.1476
M01,M,5,xlov__haru,xlov__haru,XLOV 하루,XLOV,Haru,9,0.6965,-0.0922,0.1988
M01,M,5,xlov__hyun,xlov__hyun,XLOV 현,XLOV,Hyun,7,0.7671,0.0446,-0.0032
M01,M,5,xlov__rui,xlov__rui,XLOV 루이,XLOV,Rui,7,0.6399,0.0882,0.0518
M03,M,4,xlov__wumuti,xlov__wumuti,XLOV 우무티,XLOV,Wumuti,7,0.7035,-0.0591,0.0326
M06,M,8,xodiac__beomsoo,xodiac__beomsoo,소디엑 범수,XODIAC,Beomsoo,11,0.7073,0.1213,0.2732
M03,M,4,xodiac__davin,xodiac__davin,소디엑 다빈,XODIAC,Davin,14,0.7792,0.1699,0.1004
M04,M,2,xodiac__gyumin,xodiac__gyumin,소디엑 규민,XODIAC,Gyumin,8,0.7007,-0.1549,0.1904
M04,M,2,xodiac__hyunsik,xodiac__hyunsik,소디엑 현식,XODIAC,Hyunsik,11,0.6968,-0.0310,0.1227
M06,M,8,xodiac__leo,xodiac__leo,소디엑 리오,XODIAC,Leo,11,0.7966,-0.0534,0.2347
M01,M,5,xodiac__lex,xodiac__lex,소디엑 렉스,XODIAC,Lex,13,0.6621,0.1966,0.1730
M02,M,3,xodiac__sing,xodiac__sing,소디엑 씽,XODIAC,Sing,10,0.7339,-0.0499,-0.1383
M06,M,8,xodiac__wain,xodiac__wain,소디엑 웨인,XODIAC,Wain,13,0.7705,0.2080,0.2120
M06,M,8,xodiac__zayyan,xodiac__zayyan,소디엑 자얀,XODIAC,Zayyan,10,0.7974,-0.3140,0.1955
